,id,WalkScore,description
1,4,30,Car-Dependent
2,6,0,Car-Dependent
3,8,14,Car-Dependent
4,9,7,Car-Dependent
5,11,39,Car-Dependent
6,13,0,Car-Dependent
7,15,15,Car-Dependent
8,17,81,Very Walkable
9,18,21,Car-Dependent
10,19,6,Car-Dependent
11,20,6,Car-Dependent
12,24,10,Car-Dependent
13,25,85,Very Walkable
14,27,22,Car-Dependent
15,29,71,Very Walkable
16,31,18,Car-Dependent
17,32,53,Somewhat Walkable
18,33,49,Car-Dependent
19,34,30,Car-Dependent
20,36,7,Car-Dependent
21,37,5,Car-Dependent
22,38,80,Very Walkable
23,39,27,Car-Dependent
24,40,42,Car-Dependent
25,41,40,Car-Dependent
26,42,64,Somewhat Walkable
27,43,27,Car-Dependent
28,44,21,Car-Dependent
29,45,33,Car-Dependent
30,46,2,Car-Dependent
31,47,29,Car-Dependent
32,48,2,Car-Dependent
33,49,38,Car-Dependent
34,50,29,Car-Dependent
35,51,46,Car-Dependent
36,52,51,Somewhat Walkable
37,53,7,Car-Dependent
38,54,2,Car-Dependent
39,55,55,Somewhat Walkable
40,56,68,Somewhat Walkable
41,57,2,Car-Dependent
42,58,39,Car-Dependent
43,59,11,Car-Dependent
44,61,1,Car-Dependent
45,62,12,Car-Dependent
46,66,2,Car-Dependent
47,67,44,Car-Dependent
48,69,0,Car-Dependent
49,71,68,Somewhat Walkable
50,72,65,Somewhat Walkable
51,75,26,Car-Dependent
52,79,33,Car-Dependent
53,81,43,Car-Dependent
54,82,6,Car-Dependent
55,83,36,Car-Dependent
56,85,64,Somewhat Walkable
57,86,7,Car-Dependent
58,87,0,Car-Dependent
59,88,39,Car-Dependent
60,89,44,Car-Dependent
61,90,58,Somewhat Walkable
62,91,4,Car-Dependent
63,92,28,Car-Dependent
64,93,57,Somewhat Walkable
65,95,51,Somewhat Walkable
66,96,15,Car-Dependent
67,97,61,Somewhat Walkable
68,98,0,Car-Dependent
69,99,2,Car-Dependent
70,100,7,Car-Dependent
71,102,4,Car-Dependent
72,103,14,Car-Dependent
73,107,30,Car-Dependent
74,108,0,Car-Dependent
75,109,24,Car-Dependent
76,110,53,Somewhat Walkable
77,111,72,Very Walkable
78,112,40,Car-Dependent
79,113,11,Car-Dependent
80,115,88,Very Walkable
81,116,14,Car-Dependent
82,117,43,Car-Dependent
83,118,21,Car-Dependent
84,119,39,Car-Dependent
85,120,47,Car-Dependent
86,121,64,Somewhat Walkable
87,122,68,Somewhat Walkable
88,123,36,Car-Dependent
89,124,0,Car-Dependent
90,125,53,Somewhat Walkable
91,126,36,Car-Dependent
92,127,51,Somewhat Walkable
93,128,91,Walker's Paradise
94,129,17,Car-Dependent
95,130,12,Car-Dependent
96,131,7,Car-Dependent
97,132,22,Car-Dependent
98,133,19,Car-Dependent
99,134,0,Car-Dependent
100,135,2,Car-Dependent
101,136,20,Car-Dependent
102,137,6,Car-Dependent
103,138,0,Car-Dependent
104,139,9,Car-Dependent
105,140,64,Somewhat Walkable
106,141,8,Car-Dependent
107,142,6,Car-Dependent
108,143,45,Car-Dependent
109,146,2,Car-Dependent
110,147,50,Somewhat Walkable
111,148,28,Car-Dependent
112,149,25,Car-Dependent
113,150,1,Car-Dependent
114,151,0,Car-Dependent
115,153,65,Somewhat Walkable
116,154,6,Car-Dependent
117,156,17,Car-Dependent
118,157,1,Car-Dependent
119,158,62,Somewhat Walkable
120,159,36,Car-Dependent
121,160,56,Somewhat Walkable
122,161,58,Somewhat Walkable
123,163,97,Walker's Paradise
124,165,10,Car-Dependent
125,166,57,Somewhat Walkable
126,167,0,Car-Dependent
127,177,20,Car-Dependent
128,179,85,Very Walkable
129,184,18,Car-Dependent
130,185,54,Somewhat Walkable
131,186,70,Somewhat Walkable
132,187,44,Car-Dependent
133,188,65,Somewhat Walkable
134,189,0,Car-Dependent
135,190,62,Somewhat Walkable
136,191,6,Car-Dependent
137,192,0,Car-Dependent
138,193,0,Car-Dependent
139,194,8,Car-Dependent
140,195,0,Car-Dependent
141,196,60,Somewhat Walkable
142,197,5,Car-Dependent
143,198,90,Very Walkable
144,199,35,Car-Dependent
145,200,88,Very Walkable
146,201,8,Car-Dependent
147,202,0,Car-Dependent
148,203,9,Car-Dependent
149,204,53,Somewhat Walkable
150,205,50,Somewhat Walkable
151,206,63,Somewhat Walkable
152,207,76,Very Walkable
153,208,72,Very Walkable
154,209,0,Car-Dependent
155,210,22,Car-Dependent
156,211,74,Very Walkable
157,212,26,Car-Dependent
158,213,54,Somewhat Walkable
159,214,66,Somewhat Walkable
160,215,9,Car-Dependent
161,216,3,Car-Dependent
162,217,83,Very Walkable
163,218,55,Somewhat Walkable
164,219,6,Car-Dependent
165,220,3,Car-Dependent
166,221,9,Car-Dependent
167,222,32,Car-Dependent
168,223,83,Very Walkable
169,224,52,Somewhat Walkable
170,225,2,Car-Dependent
171,226,15,Car-Dependent
172,227,92,Walker's Paradise
173,228,10,Car-Dependent
174,229,38,Car-Dependent
175,230,66,Somewhat Walkable
176,231,0,Car-Dependent
177,232,18,Car-Dependent
178,233,23,Car-Dependent
179,234,0,Car-Dependent
180,235,3,Car-Dependent
181,236,21,Car-Dependent
182,237,83,Very Walkable
183,238,0,Car-Dependent
184,239,70,Very Walkable
185,240,20,Car-Dependent
186,241,5,Car-Dependent
187,242,0,Car-Dependent
188,243,48,Car-Dependent
189,244,70,Very Walkable
190,245,10,Car-Dependent
191,246,8,Car-Dependent
192,247,48,Car-Dependent
193,248,30,Car-Dependent
194,249,11,Car-Dependent
195,250,59,Somewhat Walkable
196,251,4,Car-Dependent
197,252,0,Car-Dependent
198,254,64,Somewhat Walkable
199,255,58,Somewhat Walkable
200,256,5,Car-Dependent
201,257,48,Car-Dependent
202,259,87,Very Walkable
203,260,44,Car-Dependent
204,261,49,Car-Dependent
205,262,30,Car-Dependent
206,263,41,Car-Dependent
207,264,10,Car-Dependent
208,265,87,Very Walkable
209,266,46,Car-Dependent
210,267,25,Car-Dependent
211,268,0,Car-Dependent
212,269,60,Somewhat Walkable
213,270,40,Car-Dependent
214,271,0,Car-Dependent
215,272,49,Car-Dependent
216,273,14,Car-Dependent
217,274,27,Car-Dependent
218,275,13,Car-Dependent
219,276,0,Car-Dependent
220,277,34,Car-Dependent
221,278,2,Car-Dependent
222,279,25,Car-Dependent
223,280,1,Car-Dependent
224,281,84,Very Walkable
225,282,1,Car-Dependent
226,283,58,Somewhat Walkable
227,285,52,Somewhat Walkable
228,286,66,Somewhat Walkable
229,287,8,Car-Dependent
230,288,34,Car-Dependent
231,289,60,Somewhat Walkable
232,290,45,Car-Dependent
233,291,33,Car-Dependent
234,293,63,Somewhat Walkable
235,294,82,Very Walkable
236,296,13,Car-Dependent
237,297,26,Car-Dependent
238,298,61,Somewhat Walkable
239,304,42,Car-Dependent
240,305,0,Car-Dependent
241,307,31,Car-Dependent
242,308,50,Car-Dependent
243,309,7,Car-Dependent
244,310,67,Somewhat Walkable
245,311,0,Car-Dependent
246,312,90,Walker's Paradise
247,313,73,Very Walkable
248,315,59,Somewhat Walkable
249,316,0,Car-Dependent
250,317,47,Car-Dependent
251,319,24,Car-Dependent
252,320,21,Car-Dependent
253,321,12,Car-Dependent
254,322,0,Car-Dependent
255,323,7,Car-Dependent
256,324,10,Car-Dependent
257,325,41,Car-Dependent
258,326,29,Car-Dependent
259,327,53,Somewhat Walkable
260,328,0,Car-Dependent
261,329,35,Car-Dependent
262,330,18,Car-Dependent
263,331,45,Car-Dependent
264,332,47,Car-Dependent
265,333,65,Somewhat Walkable
266,334,11,Car-Dependent
267,335,3,Car-Dependent
268,336,40,Car-Dependent
269,337,67,Somewhat Walkable
270,338,50,Somewhat Walkable
271,341,0,Car-Dependent
272,348,5,Car-Dependent
273,350,31,Car-Dependent
274,351,47,Car-Dependent
275,352,0,Car-Dependent
276,353,10,Car-Dependent
277,354,54,Somewhat Walkable
278,356,0,Car-Dependent
279,358,13,Car-Dependent
280,359,0,Car-Dependent
281,360,42,Car-Dependent
282,367,13,Car-Dependent
283,369,48,Car-Dependent
284,371,0,Car-Dependent
285,372,61,Somewhat Walkable
286,373,5,Car-Dependent
287,375,0,Car-Dependent
288,376,0,Car-Dependent
289,377,48,Car-Dependent
290,379,30,Car-Dependent
291,384,5,Car-Dependent
292,385,59,Somewhat Walkable
293,386,66,Somewhat Walkable
294,387,30,Car-Dependent
295,388,46,Car-Dependent
296,389,90,Very Walkable
297,390,40,Car-Dependent
298,391,49,Car-Dependent
299,392,68,Somewhat Walkable
300,393,58,Somewhat Walkable
301,394,28,Car-Dependent
302,395,28,Car-Dependent
303,396,0,Car-Dependent
304,397,63,Somewhat Walkable
305,399,8,Car-Dependent
306,401,54,Somewhat Walkable
307,402,23,Car-Dependent
308,403,40,Car-Dependent
309,404,3,Car-Dependent
310,405,83,Very Walkable
311,406,3,Car-Dependent
312,407,1,Car-Dependent
313,408,45,Car-Dependent
314,409,47,Car-Dependent
315,410,2,Car-Dependent
316,411,74,Very Walkable
317,412,2,Car-Dependent
318,413,15,Car-Dependent
319,414,0,Car-Dependent
320,416,63,Somewhat Walkable
321,417,8,Car-Dependent
322,418,8,Car-Dependent
323,419,0,Car-Dependent
324,420,0,Car-Dependent
325,421,36,Car-Dependent
326,422,42,Car-Dependent
327,423,16,Car-Dependent
328,424,45,Car-Dependent
329,425,13,Car-Dependent
330,426,19,Car-Dependent
331,427,9,Car-Dependent
332,428,28,Car-Dependent
333,429,57,Somewhat Walkable
334,431,19,Car-Dependent
335,432,56,Somewhat Walkable
336,433,65,Somewhat Walkable
337,434,6,Car-Dependent
338,435,39,Car-Dependent
339,436,24,Car-Dependent
340,437,36,Car-Dependent
341,438,54,Somewhat Walkable
342,439,41,Car-Dependent
343,440,10,Car-Dependent
344,441,58,Somewhat Walkable
345,442,14,Car-Dependent
346,443,0,Car-Dependent
347,444,13,Car-Dependent
348,445,0,Car-Dependent
349,446,69,Somewhat Walkable
350,447,3,Car-Dependent
351,448,0,Car-Dependent
352,449,31,Car-Dependent
353,450,27,Car-Dependent
354,451,34,Car-Dependent
355,452,75,Very Walkable
356,453,4,Car-Dependent
357,454,16,Car-Dependent
358,455,45,Car-Dependent
359,456,0,Car-Dependent
360,457,66,Somewhat Walkable
361,458,21,Car-Dependent
362,459,5,Car-Dependent
363,460,0,Car-Dependent
364,462,2,Car-Dependent
365,463,9,Car-Dependent
366,464,9,Car-Dependent
367,465,0,Car-Dependent
368,466,0,Car-Dependent
369,467,42,Car-Dependent
370,468,1,Car-Dependent
371,469,37,Car-Dependent
372,470,57,Somewhat Walkable
373,471,43,Car-Dependent
374,473,38,Car-Dependent
375,475,62,Somewhat Walkable
376,476,2,Car-Dependent
377,477,35,Car-Dependent
378,478,45,Car-Dependent
379,479,27,Car-Dependent
380,480,20,Car-Dependent
381,481,1,Car-Dependent
382,482,20,Car-Dependent
383,483,7,Car-Dependent
384,484,19,Car-Dependent
385,485,16,Car-Dependent
386,486,18,Car-Dependent
387,487,0,Car-Dependent
388,488,24,Car-Dependent
389,491,10,Car-Dependent
390,492,10,Car-Dependent
391,493,20,Car-Dependent
392,494,32,Car-Dependent
393,499,0,Car-Dependent
394,500,36,Car-Dependent
395,501,7,Car-Dependent
396,502,61,Somewhat Walkable
397,503,0,Car-Dependent
398,504,12,Car-Dependent
399,505,4,Car-Dependent
400,506,66,Somewhat Walkable
401,507,27,Car-Dependent
402,508,4,Car-Dependent
403,509,27,Car-Dependent
404,510,19,Car-Dependent
405,511,45,Car-Dependent
406,512,69,Somewhat Walkable
407,513,47,Car-Dependent
408,514,75,Very Walkable
409,515,37,Car-Dependent
410,516,28,Car-Dependent
411,517,54,Somewhat Walkable
412,518,54,Somewhat Walkable
413,519,32,Car-Dependent
414,520,32,Car-Dependent
415,521,57,Somewhat Walkable
416,522,69,Somewhat Walkable
417,524,2,Car-Dependent
418,525,3,Car-Dependent
419,527,0,Car-Dependent
420,528,0,Car-Dependent
421,529,8,Car-Dependent
422,530,61,Somewhat Walkable
423,531,0,Car-Dependent
424,532,52,Somewhat Walkable
425,534,18,Car-Dependent
426,535,5,Car-Dependent
427,536,19,Car-Dependent
428,538,56,Somewhat Walkable
429,539,2,Car-Dependent
430,540,56,Somewhat Walkable
431,541,14,Car-Dependent
432,542,0,Car-Dependent
433,543,21,Car-Dependent
434,544,30,Car-Dependent
435,546,52,Somewhat Walkable
436,547,0,Car-Dependent
437,548,8,Car-Dependent
438,549,35,Car-Dependent
439,550,7,Car-Dependent
440,551,9,Car-Dependent
441,552,44,Car-Dependent
442,553,76,Very Walkable
443,554,29,Car-Dependent
444,555,6,Car-Dependent
445,556,7,Car-Dependent
446,557,4,Car-Dependent
447,558,91,Walker's Paradise
448,559,0,Car-Dependent
449,560,22,Car-Dependent
450,561,28,Car-Dependent
451,562,59,Somewhat Walkable
452,563,22,Car-Dependent
453,564,63,Somewhat Walkable
454,565,6,Car-Dependent
455,566,77,Very Walkable
456,567,48,Car-Dependent
457,568,60,Somewhat Walkable
458,570,10,Car-Dependent
459,571,6,Car-Dependent
460,572,31,Car-Dependent
461,573,43,Car-Dependent
462,574,27,Car-Dependent
463,575,56,Somewhat Walkable
464,576,0,Car-Dependent
465,577,83,Very Walkable
466,578,63,Somewhat Walkable
467,579,40,Car-Dependent
468,580,0,Car-Dependent
469,581,45,Car-Dependent
470,582,13,Car-Dependent
471,583,27,Car-Dependent
472,584,65,Somewhat Walkable
473,585,89,Very Walkable
474,586,0,Car-Dependent
475,587,13,Car-Dependent
476,588,2,Car-Dependent
477,590,0,Car-Dependent
478,592,55,Somewhat Walkable
479,593,33,Car-Dependent
480,594,1,Car-Dependent
481,596,21,Car-Dependent
482,597,68,Somewhat Walkable
483,600,45,Car-Dependent
484,601,58,Somewhat Walkable
485,602,74,Very Walkable
486,605,50,Somewhat Walkable
487,608,0,Car-Dependent
488,609,78,Very Walkable
489,610,16,Car-Dependent
490,612,50,Somewhat Walkable
491,613,78,Very Walkable
492,615,45,Car-Dependent
493,616,63,Somewhat Walkable
494,617,23,Car-Dependent
495,618,36,Car-Dependent
496,619,34,Car-Dependent
497,623,42,Car-Dependent
498,624,47,Car-Dependent
499,625,0,Car-Dependent
500,626,0,Car-Dependent
501,627,54,Somewhat Walkable
502,628,17,Car-Dependent
503,629,44,Car-Dependent
504,630,3,Car-Dependent
505,631,29,Car-Dependent
506,632,65,Somewhat Walkable
507,633,10,Car-Dependent
508,634,49,Car-Dependent
509,636,0,Car-Dependent
510,637,4,Car-Dependent
511,638,55,Somewhat Walkable
512,639,8,Car-Dependent
513,640,36,Car-Dependent
514,641,12,Car-Dependent
515,642,83,Very Walkable
516,643,3,Car-Dependent
517,644,58,Somewhat Walkable
518,645,85,Very Walkable
519,646,10,Car-Dependent
520,647,3,Car-Dependent
521,648,22,Car-Dependent
522,649,26,Car-Dependent
523,650,5,Car-Dependent
524,651,42,Car-Dependent
525,652,40,Car-Dependent
526,653,0,Car-Dependent
527,654,72,Very Walkable
528,655,1,Car-Dependent
529,656,2,Car-Dependent
530,657,0,Car-Dependent
531,658,68,Somewhat Walkable
532,659,14,Car-Dependent
533,661,65,Somewhat Walkable
534,662,5,Car-Dependent
535,663,38,Car-Dependent
536,664,31,Car-Dependent
537,665,11,Car-Dependent
538,666,0,Car-Dependent
539,668,71,Very Walkable
540,670,40,Car-Dependent
541,671,51,Somewhat Walkable
542,672,77,Very Walkable
543,673,2,Car-Dependent
544,674,0,Car-Dependent
545,676,25,Car-Dependent
546,678,25,Car-Dependent
547,679,31,Car-Dependent
548,680,71,Very Walkable
549,682,24,Car-Dependent
550,684,86,Very Walkable
551,689,1,Car-Dependent
552,691,45,Car-Dependent
553,692,53,Somewhat Walkable
554,696,63,Somewhat Walkable
555,698,63,Somewhat Walkable
556,701,56,Somewhat Walkable
557,702,32,Car-Dependent
558,703,0,Car-Dependent
559,707,60,Somewhat Walkable
560,708,83,Very Walkable
561,709,0,Car-Dependent
562,710,27,Car-Dependent
563,711,3,Car-Dependent
564,713,25,Car-Dependent
565,714,23,Car-Dependent
566,716,59,Somewhat Walkable
567,717,0,Car-Dependent
568,718,0,Car-Dependent
569,719,14,Car-Dependent
570,720,51,Somewhat Walkable
571,722,68,Somewhat Walkable
572,723,62,Somewhat Walkable
573,724,0,Car-Dependent
574,725,44,Car-Dependent
575,726,50,Somewhat Walkable
576,727,56,Somewhat Walkable
577,728,3,Car-Dependent
578,729,0,Car-Dependent
579,731,13,Car-Dependent
580,732,83,Very Walkable
581,733,19,Car-Dependent
582,739,66,Somewhat Walkable
583,741,22,Car-Dependent
584,742,38,Car-Dependent
585,747,36,Car-Dependent
586,749,48,Car-Dependent
587,755,0,Car-Dependent
588,757,40,Car-Dependent
589,759,0,Car-Dependent
590,761,0,Car-Dependent
591,766,1,Car-Dependent
592,768,0,Car-Dependent
593,769,54,Somewhat Walkable
594,770,62,Somewhat Walkable
595,771,44,Car-Dependent
596,772,3,Car-Dependent
597,773,87,Very Walkable
598,774,3,Car-Dependent
599,775,55,Somewhat Walkable
600,776,29,Car-Dependent
601,777,65,Somewhat Walkable
602,778,0,Car-Dependent
603,779,8,Car-Dependent
604,780,25,Car-Dependent
605,781,0,Car-Dependent
606,782,14,Car-Dependent
607,783,44,Car-Dependent
608,784,21,Car-Dependent
609,785,85,Very Walkable
610,786,84,Very Walkable
611,787,29,Car-Dependent
612,788,13,Car-Dependent
613,789,31,Car-Dependent
614,790,51,Somewhat Walkable
615,791,21,Car-Dependent
616,792,49,Car-Dependent
617,793,54,Somewhat Walkable
618,794,74,Very Walkable
619,795,54,Somewhat Walkable
620,796,13,Car-Dependent
621,797,65,Somewhat Walkable
622,798,8,Car-Dependent
623,799,36,Car-Dependent
624,801,6,Car-Dependent
625,802,54,Somewhat Walkable
626,804,11,Car-Dependent
627,805,0,Car-Dependent
628,807,0,Car-Dependent
629,808,37,Car-Dependent
630,814,4,Car-Dependent
631,815,28,Car-Dependent
632,818,67,Somewhat Walkable
633,819,14,Car-Dependent
634,820,74,Very Walkable
635,821,71,Very Walkable
636,823,31,Car-Dependent
637,824,6,Car-Dependent
638,828,61,Somewhat Walkable
639,832,60,Somewhat Walkable
640,833,54,Somewhat Walkable
641,834,7,Car-Dependent
642,836,7,Car-Dependent
643,837,0,Car-Dependent
644,838,17,Car-Dependent
645,840,0,Car-Dependent
646,841,11,Car-Dependent
647,842,7,Car-Dependent
648,843,31,Car-Dependent
649,844,0,Car-Dependent
650,845,54,Somewhat Walkable
651,846,78,Very Walkable
652,847,81,Very Walkable
653,848,31,Car-Dependent
654,849,51,Somewhat Walkable
655,850,36,Car-Dependent
656,851,76,Very Walkable
657,852,20,Car-Dependent
658,853,6,Car-Dependent
